Education,Weight,Reliability,Questionnaires or polls,Elections,Compassion to animals,Changing the past,Appearence and gestures,Self-criticism,Waiting,Thinking ahead,Parents' advice,Daily events,God,Lifestruggles,Gettingup,Judgment calls,Foreign languages,Chemistry,Pets,Internetusage,Fun with friends,PC,"Countryside, outdoors",Gardening,Health,Alcohol,Smoking,Latino,Opera,Classical music,Dance,"Hiphop, Rap",Sci-fi,Thriller,Animated,Fantasy/Fairy tales,Ageing,Spendingongadgets,Age
college/bachelor degree,48,4,3,4,5,1,4,1,3,2,4,2,1,1,2,3,5,3,4,sometime of the day,5,3,5,5,1,drink a lot,never smoked,1,1,2,2,1,4,2,5,5,1,1,20
college/bachelor degree,58,4,3,5,4,4,4,4,3,4,2,3,1,1,5,4,5,1,5,sometime of the day,4,4,1,1,4,drink a lot,never smoked,2,1,1,2,1,4,2,5,3,3,5,19
secondary school,67,4,1,5,4,5,3,4,2,5,3,1,5,4,4,4,5,1,5,sometime of the day,5,2,5,1,2,drink a lot,smoker,5,3,4,2,1,4,4,5,5,1,4,20
college/bachelor degree,59,3,4,5,2,5,3,5,1,3,2,4,4,3,1,4,4,3,1,most of the day,2,1,1,1,1,drink a lot,smoker,1,1,1,2,2,4,4,2,1,4,4,22
secondary school,59,5,3,5,3,4,3,5,3,5,3,3,5,2,4,5,3,3,1,sometime of the day,4,2,4,4,3,social drinker,smoker,4,2,4,4,5,3,4,4,4,2,2,20
secondary school,77,3,4,5,5,3,3,4,3,3,3,2,3,3,3,4,4,4,2,sometime of the day,3,4,5,2,3,never,never smoked,3,3,3,2,4,3,5,3,4,1,4,20
secondary school,50,4,5,5,5,1,4,3,4,3,4,3,5,5,2,5,4,5,5,sometime of the day,5,1,4,3,3,social drinker,smoker,3,2,2,5,3,1,1,5,5,4,1,20
college/bachelor degree,90,3,3,5,5,2,4,3,1,4,3,3,4,2,5,5,4,2,5,sometime of the day,4,4,2,1,3,drink a lot,smoker,2,2,2,3,3,3,4,4,4,1,3,19
secondary school,55,5,3,1,4,5,4,3,2,2,4,1,5,4,5,2,1,1,1,sometime of the day,4,1,4,1,4,social drinker,smoker,1,1,2,3,1,4,5,4,4,2,3,18
secondary school,60,4,3,5,5,2,3,4,1,3,3,4,5,5,4,5,5,1,2,sometime of the day,5,1,4,1,4,drink a lot,never smoked,5,2,2,2,2,1,1,4,4,3,2,19
secondary school,60,4,4,5,5,3,4,4,3,3,4,3,4,5,4,5,5,1,5,sometime of the day,4,5,4,3,3,social drinker,smoker,3,2,2,3,3,3,4,5,5,1,2,19
