DEMOGRAPHICS,DEMOGRAPHICS,DEMOGRAPHICS,DEMOGRAPHICS,,"PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS","PERSONALITY TRAITS, VIEWS ON LIFE & OPINIONS",,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,HOBBIES & INTERESTS,,SPENDING HABITS,,HEALTH HABITS,HEALTH HABITS,,MUSIC PREFERENCES,MUSIC PREFERENCES,MUSIC PREFERENCES,MUSIC PREFERENCES,MUSIC PREFERENCES,,MOVIE PREFERENCES,MOVIE PREFERENCES,MOVIE PREFERENCES,MOVIE PREFERENCES,,PHOBIAS
Education,Weight,Only child,House - block of flats,,Reliability,Questionnaires or polls,Elections,Compassion to animals,Changing the past,Appearence and gestures,Cheating in school,Self-criticism,Waiting,Thinking ahead,Parents' advice,Daily events,Judgment calls,,Foreign languages,Geography,Chemistry,Internet usage,Fun with friends,PC,"Countryside, outdoors",Gardening,,Branded clothing,,Health,Smoking,,Latino,Opera,Classical music,Dance,"Hiphop, Rap",,Sci-fi,Thriller,Animated,Fantasy/Fairy tales,,Ageing
college/bachelor degree,48,no,block of flats,,4,3,4,5,1,4,2,1,3,2,4,2,3,,5,3,3,few hours a day,5,3,5,5,,5,,1,never smoked,,1,1,2,2,1,,4,2,5,5,,1
college/bachelor degree,58,no,block of flats,,4,3,5,4,4,4,4,4,3,4,2,3,4,,5,4,1,few hours a day,4,4,1,1,,1,,4,never smoked,,2,1,1,2,1,,4,2,5,3,,3
secondary school,67,no,block of flats,,4,1,5,4,5,3,3,4,2,5,3,1,4,,5,2,1,few hours a day,5,2,5,1,,1,,2,tried smoking,,5,3,4,2,1,,4,4,5,5,,1
college/bachelor degree,59,yes,house/bungalow,,3,4,5,2,5,3,5,5,1,3,2,4,4,,4,4,3,most of the day,2,1,1,1,,3,,1,former smoker,,1,1,1,2,2,,4,4,2,1,,4
secondary school,59,no,house/bungalow,,5,3,5,3,4,3,5,5,3,5,3,3,5,,3,2,3,few hours a day,4,2,4,4,,4,,3,tried smoking,,4,2,4,4,5,,3,4,4,4,,2
secondary school,77,no,block of flats,,3,4,5,5,3,3,4,4,3,3,3,2,4,,4,3,4,few hours a day,3,4,5,2,,3,,3,never smoked,,3,3,3,2,4,,3,5,3,4,,1
secondary school,50,no,house/bungalow,,4,5,5,5,1,4,2,3,4,3,4,3,5,,4,3,5,less than an hour a day,5,1,4,3,,1,,3,tried smoking,,3,2,2,5,3,,1,1,5,5,,4
college/bachelor degree,90,no,house/bungalow,,3,3,5,5,2,4,5,3,1,4,3,3,5,,4,3,2,few hours a day,4,4,2,1,,4,,3,current smoker,,2,2,2,3,3,,3,4,4,4,,1
secondary school,55,no,house/bungalow,,5,3,1,4,5,4,5,3,2,2,4,1,2,,1,1,1,few hours a day,4,1,4,1,,3,,4,tried smoking,,1,1,2,3,1,,4,5,4,4,,2
secondary school,60,no,block of flats,,4,3,5,5,2,3,3,4,1,3,3,4,5,,5,4,1,few hours a day,5,1,4,1,,4,,4,never smoked,,5,2,2,2,2,,1,1,4,4,,3
secondary school,60,no,block of flats,,4,4,5,5,3,4,3,4,3,3,4,3,5,,5,3,1,less than an hour a day,4,5,4,3,,2,,3,current smoker,,3,2,2,3,3,,3,4,5,5,,1
primary school,60,no,block of flats,,3,4,1,2,3,2,5,5,3,1,4,3,3,,2,5,1,few hours a day,3,4,5,1,,1,,2,tried smoking,,2,2,4,1,1,,2,4,5,5,,5
college/bachelor degree,55,no,block of flats,,5,2,5,5,3,4,2,5,2,5,4,4,2,,5,3,5,few hours a day,4,2,5,4,,1,,5,tried smoking,,2,2,4,1,3,,1,5,3,5,,5
secondary school,55,no,block of flats,,5,2,3,5,2,5,3,5,3,3,3,5,5,,5,1,1,few hours a day,5,3,5,1,,2,,3,never smoked,,3,1,1,5,2,,2,2,4,5,,2
college/bachelor degree,57,no,block of flats,,5,3,5,5,1,4,1,5,3,5,4,4,5,,3,1,1,most of the day,5,2,3,5,,1,,5,current smoker,,1,1,2,2,3,,1,3,5,5,,5
secondary school,77,yes,block of flats,,5,4,5,5,5,3,5,5,1,3,4,2,4,,4,3,2,few hours a day,5,5,5,3,,1,,2,former smoker,,2,2,4,2,2,,3,5,4,4,,1
college/bachelor degree,65,no,block of flats,,2,1,2,5,5,4,5,3,3,5,3,2,4,,3,1,1,few hours a day,5,2,5,1,,4,,3,current smoker,,1,1,1,3,2,,2,3,2,2,,2
secondary school,65,no,house/bungalow,,5,3,5,5,5,4,2,4,2,4,1,4,5,,2,2,5,few hours a day,3,3,5,3,,2,,4,tried smoking,,2,3,2,3,3,,5,2,4,4,,5
secondary school,78,no,house/bungalow,,4,2,1,2,4,4,4,2,3,5,3,2,5,,4,1,3,few hours a day,3,5,3,1,,4,,3,tried smoking,,4,3,4,5,4,,5,4,4,4,,1
secondary school,90,no,house/bungalow,,4,3,3,1,3,3,5,3,2,4,2,3,5,,4,4,1,few hours a day,5,5,4,1,,4,,3,former smoker,,4,2,4,3,1,,3,4,4,4,,2
secondary school,77,no,block of flats,,2,4,5,5,3,3,4,4,3,2,3,3,3,,4,3,4,few hours a day,4,4,5,2,,3,,3,never smoked,,3,4,4,3,4,,3,5,3,3,,1
secondary school,85,no,block of flats,,4,4,5,5,1,3,5,3,3,2,3,4,2,,4,5,1,few hours a day,5,5,4,3,,1,,1,tried smoking,,2,2,2,1,1,,5,5,4,3,,1
college/bachelor degree,70,no,house/bungalow,,4,2,5,5,3,3,3,1,4,3,3,2,3,,3,3,2,few hours a day,5,3,4,1,,1,,3,tried smoking,,3,2,3,3,2,,4,3,5,4,,1
secondary school,54,no,block of flats,,4,4,5,5,4,3,5,5,3,3,2,3,5,,4,3,5,few hours a day,5,3,3,3,,4,,4,tried smoking,,4,1,2,4,3,,4,4,5,5,,3
secondary school,51,no,block of flats,,3,5,5,5,5,5,5,4,1,5,4,5,5,,5,4,2,few hours a day,5,4,5,3,,5,,5,tried smoking,,2,4,4,3,1,,2,2,2,2,,5
secondary school,56,yes,block of flats,,5,3,2,4,5,4,4,5,2,4,4,3,3,,5,2,1,few hours a day,5,2,2,1,,1,,3,tried smoking,,4,1,2,4,3,,1,2,3,4,,4
college/bachelor degree,63,no,house/bungalow,,4,4,5,5,3,3,5,5,4,5,5,3,4,,3,3,5,few hours a day,4,2,5,5,,4,,2,tried smoking,,5,2,5,5,2,,2,2,5,5,,2
secondary school,50,no,house/bungalow,,4,2,2,5,2,2,2,3,3,3,4,3,3,,4,2,5,few hours a day,4,2,3,2,,3,,4,never smoked,,3,2,3,3,2,,5,4,4,2,,4
secondary school,80,yes,house/bungalow,,4,1,3,3,1,5,5,2,3,4,3,4,5,,4,4,1,few hours a day,5,2,3,1,,5,,3,former smoker,,2,1,1,5,5,,1,3,4,4,,4
secondary school,60,no,block of flats,,3,3,3,5,3,5,5,5,3,5,3,4,4,,5,3,2,few hours a day,5,3,5,3,,1,,4,tried smoking,,4,2,3,3,3,,2,2,5,5,,5
secondary school,87,no,block of flats,,4,3,1,4,3,4,5,3,2,3,3,1,3,,4,4,1,few hours a day,5,3,4,1,,5,,4,former smoker,,3,3,3,4,4,,4,5,3,3,,4
secondary school,80,no,block of flats,,4,2,4,4,3,3,3,2,3,4,3,3,3,,4,5,2,less than an hour a day,4,2,5,3,,3,,2,tried smoking,,5,2,2,4,3,,2,1,5,5,,1
secondary school,46,no,block of flats,,1,3,1,5,1,2,5,1,2,2,3,3,5,,3,3,1,few hours a day,5,4,2,1,,1,,1,current smoker,,2,1,2,3,4,,2,5,5,5,,1
masters degree,70,no,block of flats,,5,2,5,4,1,3,4,5,3,1,4,5,5,,5,5,3,few hours a day,5,4,5,4,,2,,2,tried smoking,,2,5,4,2,1,,1,4,4,5,,1
college/bachelor degree,67,no,block of flats,,4,2,5,1,4,3,2,4,4,3,2,5,3,,5,2,1,few hours a day,5,4,5,1,,4,,2,tried smoking,,2,1,3,3,2,,4,3,5,2,,1
secondary school,72,no,house/bungalow,,5,1,5,5,1,3,5,1,1,2,3,3,5,,5,3,1,few hours a day,5,3,3,3,,3,,3,tried smoking,,5,1,4,3,4,,3,2,1,1,,5
secondary school,65,no,block of flats,,5,4,3,5,1,4,4,4,2,4,5,3,4,,4,3,5,few hours a day,5,3,4,2,,4,,3,never smoked,,1,4,3,1,1,,4,5,5,5,,3
secondary school,101,no,block of flats,,5,3,3,5,3,3,3,3,1,4,3,5,5,,4,2,3,few hours a day,5,3,5,5,,5,,3,former smoker,,1,1,5,1,1,,3,2,2,2,,3
secondary school,60,no,house/bungalow,,4,3,5,5,3,5,4,3,3,5,4,3,5,,5,3,1,few hours a day,5,2,4,4,,1,,3,tried smoking,,3,4,5,5,4,,3,4,5,5,,1
secondary school,46,no,house/bungalow,,4,4,1,4,5,4,3,4,2,3,3,2,2,,1,3,5,few hours a day,3,2,5,2,,3,,3,never smoked,,1,2,2,3,1,,3,5,5,5,,3
secondary school,62,no,block of flats,,5,3,1,4,3,4,3,3,3,4,1,4,4,,3,3,1,few hours a day,2,4,3,1,,1,,3,never smoked,,2,1,1,4,3,,2,5,2,2,,3
college/bachelor degree,80,no,block of flats,,3,3,1,1,1,3,2,5,3,5,3,3,3,,3,3,5,few hours a day,5,5,5,1,,1,,1,tried smoking,,5,1,5,5,5,,5,5,1,1,,1
secondary school,90,yes,block of flats,,5,2,1,5,2,3,1,3,5,5,2,3,3,,5,2,2,few hours a day,5,5,3,1,,1,,2,never smoked,,3,1,3,2,3,,5,4,5,5,,1
college/bachelor degree,55,no,block of flats,,5,3,4,3,3,3,5,5,2,4,3,3,3,,5,5,1,most of the day,5,3,3,1,,5,,3,tried smoking,,3,1,2,3,3,,3,1,5,5,,2
masters degree,67,no,block of flats,,4,4,5,5,3,4,5,2,2,3,3,5,5,,3,4,2,few hours a day,5,3,3,2,,3,,4,current smoker,,5,3,3,4,3,,3,4,4,5,,3
masters degree,78,no,block of flats,,5,3,1,5,5,5,1,5,2,5,1,5,5,,2,1,1,most of the day,5,5,2,1,,4,,5,never smoked,,4,4,4,5,3,,4,4,1,2,,5
college/bachelor degree,55,no,block of flats,,5,2,1,3,3,3,4,3,2,3,4,3,3,,5,4,1,few hours a day,5,4,5,1,,3,,3,current smoker,,5,2,1,4,5,,5,5,2,3,,1
secondary school,60,yes,house/bungalow,,4,1,2,2,2,4,4,3,1,3,3,3,3,,5,3,1,few hours a day,5,3,3,1,,4,,5,tried smoking,,3,3,2,3,1,,2,3,5,3,,3
secondary school,70,yes,house/bungalow,,5,3,5,4,2,4,5,5,3,3,3,3,5,,5,3,2,few hours a day,3,2,4,2,,3,,5,current smoker,,4,1,1,3,5,,2,2,2,2,,5
primary school,41,no,block of flats,,3,1,1,4,4,3,4,3,2,2,3,2,3,,4,2,1,few hours a day,5,3,2,1,,1,,2,tried smoking,,1,1,2,2,3,,3,4,3,5,,3
college/bachelor degree,60,no,block of flats,,3,3,4,4,1,4,3,5,2,5,3,3,5,,4,3,5,few hours a day,4,2,3,1,,3,,4,tried smoking,,5,2,5,2,4,,2,5,4,4,,2
secondary school,75,no,block of flats,,5,4,5,5,1,4,4,3,2,4,4,3,3,,4,3,5,less than an hour a day,4,5,3,2,,1,,3,never smoked,,5,2,4,3,2,,4,4,5,5,,1
secondary school,58,no,block of flats,,3,1,4,4,1,4,3,3,2,4,3,1,5,,4,3,4,few hours a day,5,2,5,3,,1,,4,current smoker,,5,5,5,5,5,,5,5,5,5,,3
secondary school,51,no,block of flats,,5,4,5,3,5,1,5,3,1,5,4,3,5,,5,5,2,less than an hour a day,5,2,4,3,,3,,3,tried smoking,,5,5,4,4,3,,1,3,3,5,,1
college/bachelor degree,57,no,block of flats,,5,3,3,5,3,4,3,4,3,5,3,2,5,,4,3,4,few hours a day,5,1,5,1,,2,,3,current smoker,,5,5,5,5,3,,5,5,5,5,,1
college/bachelor degree,45,no,house/bungalow,,4,3,3,5,5,2,2,5,1,3,2,3,5,,5,4,4,few hours a day,4,4,4,1,,3,,4,current smoker,,4,3,4,4,4,,2,4,4,4,,3
secondary school,64,,block of flats,,5,3,3,5,1,4,4,5,3,4,3,2,5,,5,2,1,few hours a day,5,4,3,2,,3,,4,current smoker,,1,4,4,1,2,,3,2,4,4,,5
secondary school,45,no,block of flats,,4,2,4,5,5,4,5,5,1,5,5,2,5,,3,2,1,few hours a day,5,1,5,1,,4,,5,current smoker,,1,2,3,3,2,,5,4,5,5,,4
secondary school,71,no,house/bungalow,,5,4,4,5,4,5,4,5,1,5,4,4,5,,4,5,4,few hours a day,5,3,4,3,,2,,5,never smoked,,3,1,3,5,2,,3,4,3,3,,5
